Year,Cohort,Female,Male,Total,Year
1933,1933    1,39729.74    50,948.99,90678.73,1933
1933,1932 1,12886.03    17,489.12,30375.15,1933
1933 1,1932,4991.33     5,783.44,10774.77,1933
1933 1,1931,3925.80     4,545.72,8471.52,1933
1933 2,1931,2247.76     2,660.01,4907.77,1933
1933 2,1930,2089.16     2,480.04,4569.2,1933
1933 3,1930,1638.60     1,945.76,3584.36,1933
1933 3,1929,1522.99     1,814.12,3337.11,1933
1933 4,1929,1292.52     1,517.63,2810.15,1933
1933 4,1928,1201.32     1,414.96,2616.28,1933
1933 5,1928,1085.10     1,299.23,2384.33,1933
1933 5,1927,1054.77     1,238.3,2293.07,1933
1933 6,1927,983.59     1,196.95,2180.54,1933
1933 6,1926,956.11     1,140.81,2096.92,1933
1933 7,1926,892.71     1,107.93,2000.64,1933
1933 7,1925,867.76     1,55.97,1923.73,1933
1933 8,1925,812.45     1,32.19,1844.64,1933
1933 8,1924,789.75,983.78,1773.53,1933
1933 9,1924,742.82,969.72,1712.54,1933
1933 9,1923,722.06,924.24,1646.3,1933
1933 10,1923,667.12,903.31,1570.43,1933
1933 10,1922,690.79,902.21,1593,1933
1933 11,1922,647.96,891.17,1539.13,1933
1933 11,1921,670.94,890.07,1561.01,1933
1933 12,1921,666.8,914.94,1581.74,1933
1933 12,1920,690.46,913.82,1604.28,1933
1933   13,1920,723.66,974.65,1698.31,1933
1933   13,1919,749.33,973.45,1722.78,1933
1933   14,1919,818.52     1,70.28,1888.8,1933
1933   14,1918,847.57     1,68.97,1916.54,1933
1933   15,1918,945.71     1,173.89,2119.6,1933
1933   15,1917,977.30     1,214.94,2192.24,1933
1933   16,1917,1076.81     1,298.97,2375.78,1933
1933   16,1916,1112.78     1,344.4,2457.18,1933
1933   17,1916,1205.99     1,419.93,2625.92,1933
1933   17,1915,1246.28     1,469.59,2715.87,1933
1933   18,1915,1333.26     1,536.75,2870.01,1933
1933   18,1914,1377.80     1,590.5,2968.3,1933
1933   19,1914,1458.62     1,649.44,3108.06,1933
1933   19,1913,1507.35     1,707.13,3214.48,1933
1933   20,1913,1602.25     1,829.53,3431.78,1933
1933   20,1912,1607.48     1,740.94,3348.42,1933
1933   21,1912,1703.89     1,916.81,3620.7,1933
1933   21,1911,1709.46     1,823.99,3533.45,1933
1933   22,1911,1781.88     1,978.17,3760.05,1933
1933   22,1910,1787.70     1,882.38,3670.08,1933
1933   23,1910,1836.22     2,13.61,3849.83,1933
1933   23,1909,1842.22     1,916.1,3758.32,1933
1933   24,1909,1866.90     2,23.13,3890.03,1933
1933   24,1908,1873.00     1,925.16,3798.16,1933
1933   25,1908,1883.08     2,30.82,3913.9,1933
1933   25,1907,1877.93     1,897.22,3775.15,1933
1933   26,1907,1887.57     2,24.58,3912.15,1933
1933   26,1906,1882.40     1,891.39,3773.79,1933
1933   27,1906,1889.49     2,28.65,3918.14,1933
1933   27,1905,1884.32     1,895.19,3779.51,1933
1933   28,1905,1888.84     2,43.02,3931.86,1933
1933   28,1904,1883.67     1,908.62,3792.29,1933
1933   29,1904,1885.63     2,67.71,3953.34,1933
1933   29,1903,1880.47     1,931.68,3812.15,1933
1933   30,1903,1885.33     2,83.99,3969.32,1933
1933   30,1902,1876.42     1,986.25,3862.67,1933
1933   31,1902,1898.56     2,138.59,4037.15,1933
1933   31,1901,1889.59     2,38.29,3927.88,1933
1933   32,1901,1930.81     2,213.13,4143.94,1933
1933   32,1900,1921.68     2,109.34,4031.02,1933
1933   33,1900,1982.06     2,307.62,4289.68,1933
1933   33,1899,1972.69     2,199.4,4172.09,1933
1933   34,1899,2052.33     2,422.05,4474.38,1933
1933   34,1898,2042.62     2,308.46,4351.08,1933
1933   35,1898,2123.47     2,505.08,4628.55,1933
1933   35,1897,2139.80     2,481.08,4620.88,1933
1933   36,1897,2201.79     2,636,4837.79,1933
1933   36,1896,2218.72     2,610.75,4829.47,1933
1933   37,1896,2269.70     2,765.98,5035.68,1933
1933   37,1895,2287.15     2,739.49,5026.64,1933
1933   38,1895,2327.20     2,895.04,5222.24,1933
1933   38,1894,2345.09     2,867.31,5212.4,1933
1933   39,1894,2374.29     3,23.16,5397.45,1933
1933   39,1893,2392.54     2,994.2,5386.74,1933
1933   40,1893,2415.58     3,119.35,5534.93,1933
1933   40,1892,2432.21     3,154.41,5586.62,1933
1933   41,1892,2463.72     3,253.98,5717.7,1933
1933   41,1891,2480.68     3,290.55,5771.23,1933
1933   42,1891,2523.32     3,397.36,5920.68,1933
1933   42,1890,2540.69     3,435.54,5976.23,1933
1933   43,1890,2594.36     3,549.51,6143.87,1933
1933   43,1889,2612.22     3,589.4,6201.62,1933
1933   44,1889,2676.85     3,710.41,6387.26,1933
1933   44,1888,2695.27     3,752.11,6447.38,1933
1933   45,1888,2769.35     3,854.5,6623.85,1933
1933   45,1887,2789.53     3,946.45,6735.98,1933
1933   46,1887,2869.43     4,23.53,6892.96,1933
1933   46,1886,2890.34     4,119.52,7009.86,1933
1933   47,1886,2975.67     4,192.99,7168.66,1933
1933   47,1885,2997.36     4,293.02,7290.38,1933
1933   48,1885,3088.08     4,362.88,7450.96,1933
1933   48,1884,3110.58     4,466.96,7577.54,1933
1933   49,1884,3206.65     4,533.2,7739.85,1933
1933   49,1883,3230.02     4,641.35,7871.37,1933
1933   50,1883,3318.90     4,703.05,8021.95,1933
1933   50,1882,3360.52     4,809.47,8169.99,1933
